"Date","Price","Open","High","Low","Vol.","Change %"
"24/01/2025","142.58","143.10","143.37","142.40","105.53K","-0.04%"
"23/01/2025","142.63","142.91","142.98","142.43","84.89K","0.02%"
"22/01/2025","142.60","142.39","142.99","142.15","89.83K","0.68%"
"21/01/2025","141.63","141.90","141.94","141.16","139.90K","-0.25%"
"20/01/2025","141.98","142.00","142.28","141.73","115.22K","0.68%"
"17/01/2025","141.02","140.45","141.19","140.28","111.28K","0.13%"
"16/01/2025","140.83","139.90","140.83","139.86","73.43K","1.48%"
"15/01/2025","138.77","139.03","139.10","138.70","85.89K","-0.16%"
"14/01/2025","138.99","139.01","139.11","138.80","113.04K","-0.01%"
"13/01/2025","139.01","139.32","139.34","138.45","141.07K","-0.69%"
"10/01/2025","139.97","140.35","140.49","139.59","67.47K","0.00%"
"09/01/2025","139.97","140.07","140.15","139.65","94.69K","0.14%"
"08/01/2025","139.77","140.00","140.07","139.32","122.86K","-0.21%"
"07/01/2025","140.07","140.66","140.87","139.97","187.27K","0.00%"
"06/01/2025","140.07","140.16","140.48","139.58","92.94K","0.86%"
"03/01/2025","138.87","139.62","139.78","138.87","72.92K","-0.54%"
"02/01/2025","139.62","140.30","140.30","139.01","92.76K","-0.34%"
